Beauharnois,La grande-1,Rene-Levesque,Jean-Lesage,Outardes-3,Bersimis-2,Carillon,Outardes-2,Peribonka,Laforge-2,Trenche,La tuque,Beaumont,Romaine-1,McCormick,Rocher-de-Grand-Mere,Paugan,Shawinigan-2,Shawinigan-3,Manic-1,Rapides-des-Iles,Chelsea,Sarcelle,La Gabelle,Premiere-Chute,Les Cedres,Rapides-des-Quinze,Rapides-Farmer,Chute-des-Chats,Rapide-des-Coeurs,Chute-Allard,Bryson,Rapide-2,Riviere-des-Prairies,Chute-Hemmings,Sept-Chutes,Drummondville,Chute-Bell,Mitis-1,Mitis-2,Gull Island,dateTime
8640,2010.0,1020,1020,389,278.0,473.0,389,8.899,100.0,239.0,239.0,239.0,92.0,1020,239.0,367.0,239.0,239.0,1020,473.0,367.0,895.0,239.0,473.0,8640,473.0,367.0,473.0,239.0,239.0,473.0,473.0,1365,98.8,26.63,98.8,25.66,33.8,33.8,1290,2025-12-16 16:00:00+00:00
8640,2010.0,1020,1020,389,278.0,473.0,389,8.899,100.0,239.0,239.0,239.0,92.0,1020,239.0,367.0,239.0,239.0,1020,473.0,367.0,895.0,239.0,473.0,8640,473.0,367.0,473.0,239.0,239.0,473.0,473.0,1365,98.8,26.63,98.8,25.66,33.8,33.8,1290,2025-12-16 17:00:00+00:00
8640,2010.0,1020,1020,389,278.0,473.0,389,8.899,100.0,239.0,239.0,239.0,92.0,1020,239.0,367.0,239.0,239.0,1020,473.0,367.0,895.0,239.0,473.0,8640,473.0,367.0,473.0,239.0,239.0,473.0,473.0,1365,98.8,26.63,98.8,25.66,33.8,33.8,1290,2025-12-16 18:00:00+00:00
8640,2010.0,1020,1020,389,278.0,473.0,389,8.899,100.0,239.0,239.0,239.0,92.0,1020,239.0,367.0,239.0,239.0,1020,473.0,367.0,895.0,239.0,473.0,8640,473.0,367.0,473.0,239.0,239.0,473.0,473.0,1365,98.8,26.63,98.8,25.66,33.8,33.8,1290,2025-12-16 19:00:00+00:00
8640,2010.0,1020,1020,389,278.0,473.0,389,8.899,100.0,239.0,239.0,239.0,92.0,1020,239.0,367.0,239.0,239.0,1020,473.0,367.0,895.0,239.0,473.0,8640,473.0,367.0,473.0,239.0,239.0,473.0,473.0,1365,98.8,26.63,98.8,25.66,33.8,33.8,1290,2025-12-16 20:00:00+00:00
8640,2010.0,1020,1020,389,278.0,473.0,389,8.899,100.0,239.0,239.0,239.0,92.0,1020,239.0,367.0,239.0,239.0,1020,473.0,367.0,895.0,239.0,473.0,8640,473.0,367.0,473.0,239.0,239.0,473.0,473.0,1365,98.8,26.63,98.8,25.66,33.8,33.8,1290,2025-12-16 21:00:00+00:00
8640,2010.0,1020,1020,389,278.0,473.0,389,8.899,100.0,239.0,239.0,239.0,92.0,1020,239.0,367.0,239.0,239.0,1020,473.0,367.0,895.0,239.0,473.0,8640,473.0,367.0,473.0,239.0,239.0,473.0,473.0,1365,98.8,26.63,98.8,25.66,33.8,33.8,1290,2025-12-16 22:00:00+00:00
8640,2010.0,1020,1020,389,278.0,473.0,389,8.899,100.0,239.0,239.0,239.0,92.0,1020,239.0,367.0,239.0,239.0,1020,473.0,367.0,895.0,239.0,473.0,8640,473.0,367.0,473.0,239.0,239.0,473.0,473.0,1365,98.8,26.63,98.8,25.66,33.8,33.8,1290,2025-12-16 23:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 00:00:00+00:00
8640,1970.0,1020,1020,389,228.0,473.0,389,8.696,98.2,239.0,239.0,239.0,90.0,1020,239.0,380.4,239.0,239.0,1020,473.0,380.4,876.0,239.0,473.0,8640,473.0,380.4,473.0,239.0,239.0,473.0,473.0,1365,114.0,25.62,114.0,29.94,33.8,33.8,1290,2025-12-17 01:00:00+00:00
